player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2026-02-22,13:02:38,1,1,"Taylor, Nate",815556,Right,VAN_COM,"Baer, TJ",1000483111,Right,MAR_RED,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,93.29467,-1.016259,-1.532434,2327.772809,215.685893,01:15:00,5.54803,1.27016,5.96369,-14.90375,17.26871,11.63068,3.36333,0.81816,84.70635,-3.877033,0.557355,0.408238,63.46169,11.214063,69.333908,3732.043024,NA,NA,NA,110.77722,69.30464,78.299503,1.371262,-6.42953,9.48638,-1.15515,50,5.45918,3.11338,-135.44234,-2.83671,-11.86846,31.31896,-14.66281,VAN_COM,MAR_RED,Vanderbilt,D1,SEC,20260222-Vanderbilt-1,0e6a51d0-1021-11f1-a042-c19f1c279a80,92.32952,8.55886,NA,8.58831,NA,NA,NA,0.34764,3.37663,-0.82233,ca629fae-07d1-4269-a9b6-c9d26bf0a33c,2026-02-22,19:02:38,2026-02-22T19:02:38Z,2026-02-22T19:02:38Z,GroundBall,v3,5046,471346,5c8713cc214245f3ab37967ebc00dad5,"Whitcomb, Mack",837556,Right,VAN_COM,f8c893af-37ed-45f9-a87f-37ee0984359e,54.53333,-136.48658,15.65948,5.54561,-2.34782,-7.3314,-1.26555,3.50909,-5.93423,NA,0.34764,32.22135,-13.39248,1.57508,-0.20555,-0.25858,0.32853,-0.18107,0.04014,3.37663,18.1013,-16.46939,1.27387,-0.2439,0.16453,-0.13599,0.0707,-0.01522,-0.82233,85.42482,-3.53477,-0.5566,0.2179,-0.257,0.21768,-0.11432,0.02481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2026-02-22,13:02:54,1,2,"Taylor, Nate",815556,Right,VAN_COM,"Baer, TJ",1000483111,Right,MAR_RED,Undefined,1,Top,0,0,1,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,91.97546,-0.825638,-1.845348,2196.684648,209.662146,01:00:00,5.46564,1.22451,6.12068,-17.75812,14.58831,7.79457,3.22207,0.1675,84.98266,-4.175125,-0.441005,0.40934,93.35917,38.104827,16.796527,4509.31759,101.97528,81.11725,41.24327,319.3014,266.51831,30.850364,5.503479,-4.51071,8.04229,-1.08738,50,5.39303,3.99253,-133.78483,-2.47764,-8.27175,25.67029,-17.4261,VAN_COM,MAR_RED,Vanderbilt,D1,SEC,20260222-Vanderbilt-1,182ddca0-1021-11f1-a042-c19f1c279a80,92.08091,105.09592,NA,6.9928,NA,NA,NA,1.40719,3.27783,-0.19749,ca629fae-07d1-4269-a9b6-c9d26bf0a33c,2026-02-22,19:02:54,2026-02-22T19:02:54Z,2026-02-22T19:02:54Z,FlyBall,v3,5046,471346,5c8713cc214245f3ab37967ebc00dad5,"Whitcomb, Mack",837556,Right,VAN_COM,ad3311d0-da11-4ff1-9100-577ed64c2d99,54.37905,-134.62245,12.83514,5.4646,-1.90903,-8.71305,-1.22205,4.26243,-4.13588,209.974545,1.41492,103.00276,-25.26391,5.65126,-0.58701,-0.10328,0.04468,-0.00565,2.5e-4,3.27617,84.5084,-19.6926,0.89323,0.10494,-0.10243,0.03293,-0.00477,2.6e-4,-0.19816,31.1444,2.28491,-1.4249,0.36094,-0.05023,0.00365,-1.5e-4,1e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2026-02-22,13:03:27,2,1,"Taylor, Nate",815556,Right,VAN_COM,"Rivera, Noel",1000397843,Right,MAR_RED,Undefined,1,Top,1,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,76.58239,3.08688,0.454925,2696.303937,70.570063,08:15:00,5.68948,0.87467,5.34793,-53.23015,-4.78303,-17.58312,4.15189,-0.16388,70.47054,-6.59555,-2.668265,0.500963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.90272,-2.7424,-0.90273,50,5.92947,-0.19485,-111.15898,4.18594,11.19044,19.06671,-35.62115,VAN_COM,MAR_RED,Vanderbilt,D1,SEC,20260222-Vanderbilt-1,2bf7a090-1021-11f1-a042-c19f1c279a80,75.24,NA,NA,6.11185,NA,NA,NA,NA,NA,NA,ca629fae-07d1-4269-a9b6-c9d26bf0a33c,2026-02-22,19:03:27,2026-02-22T19:03:27Z,2026-02-22T19:03:27Z,NA,v3,5046,471346,5c8713cc214245f3ab37967ebc00dad5,"Whitcomb, Mack",837556,Right,VAN_COM,e7a11e67-abaa-4672-9e3d-8f2ea74fdfbe,55.15301,-112.03937,9.53335,5.69821,5.83072,-17.81058,-0.88181,-0.71156,5.59522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2026-02-22,13:03:42,2,2,"Taylor, Nate",815556,Right,VAN_COM,"Rivera, Noel",1000397843,Right,MAR_RED,Undefined,1,Top,1,1,0,Slider,Curveball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,77.69065,-0.045092,-0.2772,2621.739672,70.448947,08:15:00,5.64145,1.00768,5.4872,-49.81432,-3.34807,-13.02623,1.44807,-0.33717,72.38689,-9.074316,-2.603106,0.490614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.54016,-1.31366,-0.97424,50,5.60331,1.03792,-113.00875,-1.75355,8.53906,18.7387,-33.88922,VAN_COM,MAR_RED,Vanderbilt,D1,SEC,20260222-Vanderbilt-1,34aeeb80-1021-11f1-a042-c19f1c279a80,76.82703,NA,NA,5.30376,NA,NA,NA,NA,NA,NA,ca629fae-07d1-4269-a9b6-c9d26bf0a33c,2026-02-22,19:03:42,2026-02-22T19:03:42Z,2026-02-22T19:03:42Z,NA,v3,5046,471346,5c8713cc214245f3ab37967ebc00dad5,"Whitcomb, Mack",837556,Right,VAN_COM,9d8ed7e5-be16-4851-8a92-b316d81740ea,55.01428,-113.83717,9.36935,5.64771,-0.25536,-16.94461,-1.01178,0.66042,4.26953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2026-02-22,13:03:57,2,3,"Taylor, Nate",815556,Right,VAN_COM,"Rivera, Noel",1000397843,Right,MAR_RED,Undefined,1,Top,1,1,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,93.88574,-1.049788,-1.773825,2342.426889,212.837797,01:00:00,5.54639,1.13214,5.76541,-15.2628,16.38713,9.96654,3.2969,0.31132,86.20619,-3.939646,0.009965,0.404909,86.36462,5.571315,172.668311,2078.94006,NA,NA,NA,NA,42.94031,NA,NA,-5.44477,8.86449,-0.99087,50,5.44996,3.75125,-136.3487,-2.97147,-10.32775,27.84893,-15.35971,VAN_COM,MAR_RED,Vanderbilt,D1,SEC,20260222-Vanderbilt-1,3da78530-1021-11f1-a042-c19f1c279a80,93.08859,6.54539,NA,7.67954,NA,NA,NA,2.59379,3.51422,-0.84857,ca629fae-07d1-4269-a9b6-c9d26bf0a33c,2026-02-22,19:03:57,2026-02-22T19:03:57Z,2026-02-22T19:03:57Z,NA,v3,5046,471346,5c8713cc214245f3ab37967ebc00dad5,"Whitcomb, Mack",837556,Right,VAN_COM,0f67f73f-d5a9-4c55-aa35-e387fed73fcc,54.72946,-137.31128,13.92447,5.5435,-2.44056,-7.67986,-1.12669,4.10823,-5.16387,NA,2.57919,-124.54828,24.67532,NA,NA,NA,NA,NA,NA,3.5139,12.31038,-11.75812,NA,NA,NA,NA,NA,NA,-0.81975,15.10138,-22.3866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Undefined,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2026-02-22,13:04:18,2,4,"Taylor, Nate",815556,Right,VAN_COM,"Rivera, Noel",1000397843,Right,MAR_RED,Undefined,1,Top,1,1,2,Slider,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,79.46752,0.077412,-0.340582,2649.251395,69.222244,08:15:00,5.71763,1.0556,5.47386,-49.38337,-4.53689,-15.53123,1.67479,-0.55738,73.34994,-8.892762,-3.112517,0.481987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.76772,-1.92524,-1.01473,50,5.69053,1.2933,-115.48428,-1.54081,10.48644,21.57564,-34.77311,VAN_COM,MAR_RED,Vanderbilt,D1,SEC,20260222-Vanderbilt-1,4a6404b0-1021-11f1-a042-c19f1c279a80,78.20214,NA,NA,6.11758,NA,NA,NA,NA,NA,NA,ca629fae-07d1-4269-a9b6-c9d26bf0a33c,2026-02-22,19:04:18,2026-02-22T19:04:18Z,2026-02-22T19:04:18Z,NA,v3,5046,471346,5c8713cc214245f3ab37967ebc00dad5,"Whitcomb, Mack",837556,Right,VAN_COM,928b0ff3-5044-40f0-9ecf-64cacb36a896,55.02688,-116.41965,10.78782,5.72466,-0.03329,-17.38656,-1.06094,0.83867,5.24322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.66326,NA,NA,0.887671,NA,NA,NA,5.46792,4.74135,3.73788,69.37711,6.53444,55.39593,5.51879,79.48658,-8.53653,4.76273,14.3675,-13.95208,3.75276,61.30408,-3.53141,High,High,High,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2026-02-22,13:04:48,3,1,"Taylor, Nate",815556,Right,VAN_COM,"Lincoln, Nathan",1000121789,Right,MAR_RED,Undefined,1,Top,2,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,92.906,-1.471983,-3.532228,2422.880944,218.57819,01:15:00,5.59314,1.12577,6.0345,-12.77213,19.5106,14.73099,3.16289,-0.92155,84.68645,-3.946065,-0.887856,0.408937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.53044,10.74351,-0.8575,50,5.47096,7.67231,-134.73555,-3.79974,-15.67857,29.31688,-12.42794,VAN_COM,MAR_RED,Vanderbilt,D1,SEC,20260222-Vanderbilt-1,5c2d64c0-1021-11f1-a042-c19f1c279a80,92.17176,NA,NA,8.21955,NA,NA,NA,NA,NA,NA,ca629fae-07d1-4269-a9b6-c9d26bf0a33c,2026-02-22,19:04:48,2026-02-22T19:04:48Z,2026-02-22T19:04:48Z,NA,v3,5046,471346,5c8713cc214245f3ab37967ebc00dad5,"Whitcomb, Mack",837556,Right,VAN_COM,2f79a154-984c-434b-bdbd-d6c8a903883c,54.46276,-135.70311,14.65844,5.5896,-3.38957,-6.21397,-1.11925,8.18976,-7.83929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2026-02-22,13:05:03,3,2,"Taylor, Nate",815556,Right,VAN_COM,"Lincoln, Nathan",1000121789,Right,MAR_RED,Undefined,1,Top,2,1,0,Cutter,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,87.28551,-0.786658,-2.191908,2291.315913,143.32527,10:45:00,5.61369,1.19588,5.73197,-29.86454,6.64926,-4.19567,2.39182,-1.19598,80.87979,-6.276248,-2.94221,0.43491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.59705,3.90953,-1.01058,50,5.52968,5.02972,-126.83766,-2.78251,2.63111,23.19104,-25.73312,VAN_COM,MAR_RED,Vanderbilt,D1,SEC,20260222-Vanderbilt-1,6501ad90-1021-11f1-a042-c19f1c279a80,86.66712,NA,NA,6.40572,NA,NA,NA,NA,NA,NA,ca629fae-07d1-4269-a9b6-c9d26bf0a33c,2026-02-22,19:05:03,2026-02-22T19:05:03Z,2026-02-22T19:05:03Z,NA,v3,5046,471346,5c8713cc214245f3ab37967ebc00dad5,"Whitcomb, Mack",837556,Right,VAN_COM,eda713b4-5e4b-4b9f-861f-8d06e0b7adae,54.76638,-127.70617,11.59552,5.61583,-1.8188,-12.86656,-1.1971,4.93119,1.31555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2026-02-22,13:05:20,3,3,"Taylor, Nate",815556,Right,VAN_COM,"Lincoln, Nathan",1000121789,Right,MAR_RED,Undefined,1,Top,2,1,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,93.37016,-1.830642,-3.081575,2375.205106,215.182379,01:15:00,5.49703,1.11757,6.17512,-13.83871,17.72383,11.82556,2.65014,-0.74561,85.76917,-4.482727,-0.95169,0.40435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.90229,9.93276,-0.8902,50,5.35113,6.7945,-135.56175,-4.72008,-12.93201,27.73795,-13.56424,VAN_COM,MAR_RED,Vanderbilt,D1,SEC,20260222-Vanderbilt-1,6ed08300-1021-11f1-a042-c19f1c279a80,93.21735,NA,NA,7.60098,NA,NA,NA,NA,NA,NA,ca629fae-07d1-4269-a9b6-c9d26bf0a33c,2026-02-22,19:05:20,2026-02-22T19:05:20Z,2026-02-22T19:05:20Z,NA,v3,5046,471346,5c8713cc214245f3ab37967ebc00dad5,"Whitcomb, Mack",837556,Right,VAN_COM,c148ffa1-85dc-45ad-be34-e61fca9297b7,54.32298,-136.44343,13.86898,5.49431,-4.28893,-6.78212,-1.11271,7.20556,-6.466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2026-02-22,13:05:36,3,4,"Taylor, Nate",815556,Right,VAN_COM,"Lincoln, Nathan",1000121789,Right,MAR_RED,Undefined,1,Top,2,1,2,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,88.20603,-0.881879,-2.919944,2343.211734,166.263334,11:30:00,5.4682,1.08134,5.74223,-28.37112,7.05118,-1.50961,2.28172,-1.7655,82.50119,-6.079867,-3.189659,0.428361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14252,4.07221,-0.83744,50,5.37716,6.60348,-128.24229,-2.97127,0.24257,21.01712,-25.24236,VAN_COM,MAR_RED,Vanderbilt,D1,SEC,20260222-Vanderbilt-1,78e19190-1021-11f1-a042-c19f1c279a80,87.99225,NA,NA,5.70484,NA,NA,NA,NA,NA,NA,ca629fae-07d1-4269-a9b6-c9d26bf0a33c,2026-02-22,19:05:36,2026-02-22T19:05:36Z,2026-02-22T19:05:36Z,NA,v3,5046,471346,5c8713cc214245f3ab37967ebc00dad5,"Whitcomb, Mack",837556,Right,VAN_COM,a34c2ffa-eda1-4ac4-bd5d-1cd6432f4cd4,54.75768,-129.01965,10.50856,5.4698,-2.03763,-12.62118,-1.08152,6.59451,0.12129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
