player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2026-02-20,15:05:01,1,1,"Lloyd, Jaxon",1000119504,Left,LON_LAN,"Mascuilli, Anthony",1000249213,Right,UMBC_RET,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,87.47632,-2.291694,3.452369,2309.735639,153.322925,11:00:00,5.92966,-1.93558,6.0244,-17.74143,18.6467,-8.78808,2.32373,0.53341,80.11552,-5.660832,1.875128,0.434161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.46296,10.57276,1.66993,50,5.74026,-7.29478,-126.8237,-5.58225,8.91536,25.44955,-14.91963,LON_LAN,UMBC_RET,BuddyBoldingStadium,D1,BSOU,20260220-BuddyBoldingStadium-1,70dedba0-0e97-11f1-8b4f-b9c6958455c6,86.81666,NA,NA,7.3608,NA,NA,NA,NA,NA,NA,a0a43ab1-0f66-42c3-a95c-ec05579216d9,2026-02-20,20:05:01,2026-02-20T20:05:01Z,2026-02-20T20:05:01Z,NA,v3,471338,471348,NA,"Johnson, Lucas",1000119534,Right,LON_LAN,bf57334a-c383-47b7-af6f-258fe8e69768,54.47366,-127.71827,12.72478,5.92726,-5.05781,-7.45982,1.93186,-7.60817,4.45768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2026-02-20,15:05:20,1,2,"Lloyd, Jaxon",1000119504,Left,LON_LAN,"Mascuilli, Anthony",1000249213,Right,UMBC_RET,Undefined,1,Top,0,0,1,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,77.97872,3.384757,-0.260358,2267.549406,276.064843,03:15:00,5.76224,-2.30702,5.38951,-45.47758,0.87354,3.65059,5.14851,-2.24683,72.02557,-4.909843,0.388149,0.490006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.88874,0.04921,2.32765,50,6.03273,0.37032,-113.18825,5.15532,-2.48312,18.06592,-32.10937,LON_LAN,UMBC_RET,BuddyBoldingStadium,D1,BSOU,20260220-BuddyBoldingStadium-1,7bec4b90-0e97-11f1-8b4f-b9c6958455c6,76.92239,NA,NA,5.95315,NA,NA,NA,NA,NA,NA,a0a43ab1-0f66-42c3-a95c-ec05579216d9,2026-02-20,20:05:20,2026-02-20T20:05:20Z,2026-02-20T20:05:20Z,NA,v3,471338,471348,NA,"Johnson, Lucas",1000119534,Right,LON_LAN,cd8802ad-fbc9-404f-b29e-3ffecf06b462,55.11014,-114.00096,9.03296,5.76833,6.59978,-16.05469,2.30848,0.48203,-1.24156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2026-02-20,15:05:37,1,3,"Lloyd, Jaxon",1000119504,Left,LON_LAN,"Mascuilli, Anthony",1000249213,Right,UMBC_RET,Undefined,1,Top,0,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,78.65455,-0.930805,1.76554,2185.418519,114.809327,09:45:00,5.75297,-2.09681,6.2408,-36.9449,7.46052,-13.20804,1.81519,-1.56846,72.52794,-7.794022,-0.623326,0.479611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.31579,4.55768,1.97151,50,5.66551,-3.05458,-114.32934,-2.92423,9.71027,20.52562,-26.12465,LON_LAN,UMBC_RET,BuddyBoldingStadium,D1,BSOU,20260220-BuddyBoldingStadium-1,86021510-0e97-11f1-8b4f-b9c6958455c6,78.58957,NA,NA,6.12661,NA,NA,NA,NA,NA,NA,a0a43ab1-0f66-42c3-a95c-ec05579216d9,2026-02-20,20:05:37,2026-02-20T20:05:37Z,2026-02-20T20:05:37Z,NA,v3,471338,471348,NA,"Johnson, Lucas",1000119534,Right,LON_LAN,c283776a-47f2-461a-b517-4b4669a8b752,54.25794,-115.09124,10.26281,5.75605,-1.95451,-13.06232,2.09158,-3.41502,4.85513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2026-02-20,15:05:54,1,4,"Lloyd, Jaxon",1000119504,Left,LON_LAN,"Mascuilli, Anthony",1000249213,Right,UMBC_RET,Undefined,1,Top,0,2,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,78.10915,1.297322,1.794186,2125.439365,110.27788,09:45:00,5.79286,-2.19557,6.12705,-37.81431,7.79993,-17.05225,3.84167,-1.95755,71.13031,-5.767036,-1.279175,0.486095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.26186,4.1226,2.06667,50,5.87274,-2.92321,-113.40288,1.46829,11.99183,21.84982,-26.83628,LON_LAN,UMBC_RET,BuddyBoldingStadium,D1,BSOU,20260220-BuddyBoldingStadium-1,90524f80-0e97-11f1-8b4f-b9c6958455c6,77.54123,NA,NA,6.97884,NA,NA,NA,NA,NA,NA,a0a43ab1-0f66-42c3-a95c-ec05579216d9,2026-02-20,20:05:54,2026-02-20T20:05:54Z,2026-02-20T20:05:54Z,NA,v3,471338,471348,NA,"Johnson, Lucas",1000119534,Right,LON_LAN,01c91882-295e-4d76-8c7e-5c5927477db2,54.37019,-114.2418,10.92491,5.79659,2.49866,-13.41814,2.18774,-3.38363,5.99592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2026-02-20,15:06:10,1,5,"Lloyd, Jaxon",1000119504,Left,LON_LAN,"Mascuilli, Anthony",1000249213,Right,UMBC_RET,Undefined,1,Top,0,3,1,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,NA,87.20575,-1.005549,3.627679,2311.196089,149.165695,11:00:00,5.93797,-2.00457,5.92663,-15.60524,21.50088,-12.06194,3.70255,0.36079,78.86455,-4.025428,1.467802,0.438424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.21784,11.65347,1.72075,50,5.8485,-7.49509,-126.31206,-2.61287,11.56254,27.75644,-13.50587,LON_LAN,UMBC_RET,BuddyBoldingStadium,D1,BSOU,20260220-BuddyBoldingStadium-1,9a245940-0e97-11f1-8b4f-b9c6958455c6,85.97262,NA,NA,8.3412,NA,NA,NA,NA,NA,NA,a0a43ab1-0f66-42c3-a95c-ec05579216d9,2026-02-20,20:06:10,2026-02-20T20:06:10Z,2026-02-20T20:06:10Z,NA,v3,471338,471348,NA,"Johnson, Lucas",1000119534,Right,LON_LAN,4aa3ffde-57e8-433e-803a-a1f4f9708877,54.568600000000004,-127.31203,13.87822,5.93387,-2.12631,-6.75294,1.99827,-7.91164,5.78127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2026-02-20,15:06:42,2,1,"Lloyd, Jaxon",1000119504,Left,LON_LAN,"Melton, Dylan",1000270424,Left,UMBC_RET,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,88.3327,-2.22277,4.116386,2309.589798,152.441739,11:00:00,5.8742,-2.65726,6.04116,-14.58977,21.33556,-10.49942,2.59403,0.28559,80.30783,-5.043515,2.234185,0.431392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.60008,11.98737,2.34152,50,5.69254,-8.77306,-127.90453,-5.34441,10.8857,27.45926,-12.40298,LON_LAN,UMBC_RET,BuddyBoldingStadium,D1,BSOU,20260220-BuddyBoldingStadium-1,acc331c0-0e97-11f1-8b4f-b9c6958455c6,87.37404,NA,NA,8.02488,NA,NA,NA,NA,NA,NA,a0a43ab1-0f66-42c3-a95c-ec05579216d9,2026-02-20,20:06:42,2026-02-20T20:06:42Z,2026-02-20T20:06:42Z,NA,v3,471338,471348,NA,"Johnson, Lucas",1000119534,Right,LON_LAN,c5f1e78e-9124-4fcd-9bc0-c734e50b041c,54.45637,-128.8577,13.72963,5.87058,-4.91387,-6.20149,2.65261,-9.15092,5.44285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2026-02-20,15:07:21,2,2,"Lloyd, Jaxon",1000119504,Left,LON_LAN,"Melton, Dylan",1000270424,Left,UMBC_RET,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,87.6836,-0.35488,2.893432,2332.828075,153.534731,11:00:00,5.89847,-2.72782,5.96826,-16.49501,20.03336,-9.35579,4.19444,-0.82256,79.43266,-3.531409,1.215098,0.434997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.63575,10.72764,2.50349,50,5.8611,-6.03252,-127.14535,-1.22427,9.15995,27.79993,-14.73811,LON_LAN,UMBC_RET,BuddyBoldingStadium,D1,BSOU,20260220-BuddyBoldingStadium-1,c45436e0-0e97-11f1-8b4f-b9c6958455c6,86.64982,NA,NA,8.25094,NA,NA,NA,NA,NA,NA,a0a43ab1-0f66-42c3-a95c-ec05579216d9,2026-02-20,20:07:21,2026-02-20T20:07:21Z,2026-02-20T20:07:21Z,NA,v3,471338,471348,NA,"Johnson, Lucas",1000119534,Right,LON_LAN,b2476b46-3fa8-4f87-a879-0dbb9f55c9b4,54.52754,-128.13145,13.89997,5.89525,-0.70149,-7.36906,2.72323,-6.35744,4.57997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2026-02-20,15:07:38,2,3,"Lloyd, Jaxon",1000119504,Left,LON_LAN,"Melton, Dylan",1000270424,Left,UMBC_RET,Undefined,1,Top,0,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,78.83861,-2.341003,3.857454,2076.61736,121.968663,10:00:00,5.77011,-2.61097,6.07421,-33.72691,11.35335,-15.72635,0.78729,-0.34682,72.07367,-8.612578,1.028394,0.483242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.32126,6.99197,2.32068,50,5.57055,-7.13999,-114.20597,-5.64867,12.22939,22.33417,-23.00064,LON_LAN,UMBC_RET,BuddyBoldingStadium,D1,BSOU,20260220-BuddyBoldingStadium-1,ce4699e0-0e97-11f1-8b4f-b9c6958455c6,77.99908,NA,NA,6.76493,NA,NA,NA,NA,NA,NA,a0a43ab1-0f66-42c3-a95c-ec05579216d9,2026-02-20,20:07:38,2026-02-20T20:07:38Z,2026-02-20T20:07:38Z,NA,v3,471338,471348,NA,"Johnson, Lucas",1000119534,Right,LON_LAN,5f40cf24-fa30-455f-8fab-e8ef12483fc2,54.42495,-115.06806,11.16709,5.77146,-4.76085,-11.50032,2.60539,-7.61204,6.11469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2026-02-20,15:07:56,2,4,"Lloyd, Jaxon",1000119504,Left,LON_LAN,"Melton, Dylan",1000270424,Left,UMBC_RET,Undefined,1,Top,0,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,87.74355,-0.559949,4.143871,2324.629715,156.083469,11:15:00,5.94113,-2.63232,6.05532,-14.07674,22.38399,-9.37312,4.2484,0.42895,79.41082,-3.306425,2.463768,0.434594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.00622,11.99733,2.31449,50,5.88965,-8.80925,-127.06066,-1.56534,9.75062,27.72438,-12.69728,LON_LAN,UMBC_RET,BuddyBoldingStadium,D1,BSOU,20260220-BuddyBoldingStadium-1,d9244740-0e97-11f1-8b4f-b9c6958455c6,86.73016,NA,NA,8.33273,NA,NA,NA,NA,NA,NA,a0a43ab1-0f66-42c3-a95c-ec05579216d9,2026-02-20,20:07:56,2026-02-20T20:07:56Z,2026-02-20T20:07:56Z,NA,v3,471338,471348,NA,"Johnson, Lucas",1000119534,Right,LON_LAN,904b9246-c518-49ea-9004-d2b5a7b9f405,54.43955,-128.0257,13.86219,5.93644,-1.12337,-6.34864,2.62704,-9.14865,4.87531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2026-02-20,15:08:16,2,5,"Lloyd, Jaxon",1000119504,Left,LON_LAN,"Melton, Dylan",1000270424,Left,UMBC_RET,Undefined,1,Top,0,3,1,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,NA,87.682,-1.18771,3.472248,2335.425408,154.52964,11:15:00,5.99206,-2.53255,5.95461,-15.64202,20.8158,-9.34052,3.58491,-0.08689,79.76723,-4.197817,1.798637,0.434577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.74658,11.34398,2.26138,50,5.88861,-7.31718,-127.09244,-3.04464,9.37342,26.71308,-13.67057,LON_LAN,UMBC_RET,BuddyBoldingStadium,D1,BSOU,20260220-BuddyBoldingStadium-1,e4e17f30-0e97-11f1-8b4f-b9c6958455c6,86.73365,NA,NA,7.91478,NA,NA,NA,NA,NA,NA,a0a43ab1-0f66-42c3-a95c-ec05579216d9,2026-02-20,20:08:16,2026-02-20T20:08:16Z,2026-02-20T20:08:16Z,NA,v3,471338,471348,NA,"Johnson, Lucas",1000119534,Right,LON_LAN,03778706-a12d-4565-b044-f9ac8b0f6313,54.5414,-128.04342,13.35654,5.98834,-2.55797,-6.83529,2.52781,-7.65087,4.6867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
