player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2026-02-17,15:05:32,1,1,"Pumphrey, Cooper",1000296246,Right,EKU_COL,"Nowak, Mark",10321509,Right,NOK_NOR,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,92.46936,-4.003526,-2.103093,2168.156203,203.683366,12:45:00,6.42601,0.92317,6.15281,-10.86469,21.64997,9.02615,1.81312,-0.26864,84.4715,-6.125933,-0.47661,0.410403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.2602,12.64638,-0.76783,50,6.11536,4.5407400000000004,-134.00298,-9.63169,-9.55602,29.20185,-9.19983,EKU_COL,NOK_NOR,EarleCombsStadium,D1,ASUN,20260217-EarleCombsStadium-1,04128650-0c3c-11f1-bf2f-29085bb728ab,91.84243,NA,NA,7.99787,NA,NA,NA,NA,NA,NA,d680e779-c437-4401-b98f-f11c827ab3b6,2026-02-17,20:05:32,2026-02-17T20:05:32Z,2026-02-17T20:05:32Z,NA,v3,471288,471393,42fb94a1479f48c98c8b96efb89ca665,"Shaffer, Silas",1000068569,Right,EKU_COL,40722400-edde-4b80-bf69-f751361bc24b,54.34601,-134.94674,14.60092,6.42183,-9.33437,-4.59991,-0.91957,4.84957,-4.77801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2026-02-17,15:05:51,1,2,"Pumphrey, Cooper",1000296246,Right,EKU_COL,"Nowak, Mark",10321509,Right,NOK_NOR,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,90.95556,-3.252964,0.057611,2390.326939,210.617003,01:00:00,6.35837,0.95144,6.31824,-12.03796,21.18363,11.91556,2.35587,1.99746,83.36927,-5.589489,2.213281,0.414841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.30394,12.34926,-0.96161,50,6.11468,-0.58951,-132.11673,-7.80447,-11.14085,28.17586,-10.34937,EKU_COL,NOK_NOR,EarleCombsStadium,D1,ASUN,20260217-EarleCombsStadium-1,0f446e30-0c3c-11f1-bf2f-29085bb728ab,90.85997,NA,NA,7.58628,NA,NA,NA,NA,NA,NA,d680e779-c437-4401-b98f-f11c827ab3b6,2026-02-17,20:05:51,2026-02-17T20:05:51Z,2026-02-17T20:05:51Z,NA,v3,471288,471393,42fb94a1479f48c98c8b96efb89ca665,"Shaffer, Silas",1000068569,Right,EKU_COL,1d314286-9452-445f-af40-d6cc96c22dde,54.18348,-133.00592,14.08793,6.35583,-7.47785,-5.17468,-0.94855,-0.23792,-5.57043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2026-02-17,15:06:09,1,3,"Pumphrey, Cooper",1000296246,Right,EKU_COL,"Nowak, Mark",10321509,Right,NOK_NOR,Undefined,1,Top,0,1,1,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Out,1,0,NA,91.94697,-2.801913,-1.684014,2262.685834,195.579423,12:30:00,6.39024,0.85484,6.29664,-9.5891,23.19269,6.15469,3.00624,-0.1844,83.49649,-4.71932,-0.57177,0.412086,97.29141,17.670789,-6.713225,853.631071,109.32114,28.82466,-12.20163,314.64675,302.32615,-6.313194,3.040319,-3.69945,13.22001,-0.73389,50,6.1792299999999996,3.66708,-133.39855,-6.70435,-6.62174,30.48458,-8.51131,EKU_COL,NOK_NOR,EarleCombsStadium,D1,ASUN,20260217-EarleCombsStadium-1,1a469380-0c3c-11f1-bf2f-29085bb728ab,91.46749,32.94598,NA,8.45048,NA,NA,NA,0.41349,2.93567,0.19405,d680e779-c437-4401-b98f-f11c827ab3b6,2026-02-17,20:06:09,2026-02-17T20:06:09Z,2026-02-17T20:06:09Z,LineDrive,v3,471288,471393,42fb94a1479f48c98c8b96efb89ca665,"Shaffer, Silas",1000068569,Right,EKU_COL,470444f5-02c5-4e9d-910e-b7d28d1b1e15,54.20131,-134.35521,15.24229,6.38543,-6.43725,-4.25566,-0.85223,3.87489,-3.31087,189.327097,0.41351,135.02824,-17.46117,3.66954,-0.74176,0.13796,-0.02187,0.00242,-1.3e-4,2.93567,43.3145,-16.93321,1.13654,-0.18644,0.03154,-0.00456,7.3e-4,-7e-5,0.19405,-15.89375,2.84335,-0.7983,0.19489,-0.04265,0.0076,-9.7e-4,6e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2026-02-17,15:06:46,2,1,"Pumphrey, Cooper",1000296246,Right,EKU_COL,"Bauerle, Pierce",1000347968,Right,NOK_NOR,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,92.63715,-4.441352,-1.56723,2195.397643,202.950853,12:45:00,6.38079,0.7673,6.28833,-10.42634,21.71588,8.76036,1.40918,0.05267,84.9315,-6.478335,0.016123,0.408046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.01788,12.85985,-0.65614,50,6.04789,3.32093,-134.30035,-10.67,-9.18178,28.57404,-8.64281,EKU_COL,NOK_NOR,EarleCombsStadium,D1,ASUN,20260217-EarleCombsStadium-1,303d70a0-0c3c-11f1-bf2f-29085bb728ab,92.37299,NA,NA,7.70564,NA,NA,NA,NA,NA,NA,d680e779-c437-4401-b98f-f11c827ab3b6,2026-02-17,20:06:46,2026-02-17T20:06:46Z,2026-02-17T20:06:46Z,NA,v3,471288,471393,42fb94a1479f48c98c8b96efb89ca665,"Shaffer, Silas",1000068569,Right,EKU_COL,4dc02a56-375c-4d2c-b2cc-0e2e6fae0eab,54.21201,-135.19354,14.28702,6.3772,-10.39984,-4.32141,-0.76444,3.60794,-4.59089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2026-02-17,15:07:04,2,2,"Pumphrey, Cooper",1000296246,Right,EKU_COL,"Bauerle, Pierce",1000347968,Right,NOK_NOR,Undefined,1,Top,1,1,0,Fastball,Four-Seam,HitByPitch,Undefined,Undefined,Undefined,0,0,NA,90.64872,-1.574959,0.548871,2329.228817,202.107616,12:45:00,6.33432,0.96388,6.04335,-8.91599,25.09324,9.72725,4.13273,2.28267,82.24104,-3.373594,2.298746,0.41973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.85862,13.75367,-1.0119,50,6.20685,-1.66887,-131.61851,-3.77096,-8.45699,29.95193,-8.23416,EKU_COL,NOK_NOR,EarleCombsStadium,D1,ASUN,20260217-EarleCombsStadium-1,3b2dbba0-0c3c-11f1-bf2f-29085bb728ab,89.80169,NA,NA,8.40768,NA,NA,NA,NA,NA,NA,d680e779-c437-4401-b98f-f11c827ab3b6,2026-02-17,20:07:04,2026-02-17T20:07:04Z,2026-02-17T20:07:04Z,NA,v3,471288,471393,42fb94a1479f48c98c8b96efb89ca665,"Shaffer, Silas",1000068569,Right,EKU_COL,6af1edf9-08f6-4e4d-9df1-2f0925f0211a,54.45504,-132.62846,14.97597,6.32932,-3.49332,-4.11708,-0.96044,-1.38371,-4.22849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2026-02-17,15:08:44,3,1,"Pumphrey, Cooper",1000296246,Right,EKU_COL,"Williams, Josh",1000273647,Left,NOK_NOR,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,91.3181,-4.621555,-2.908673,2196.778408,190.524809,12:15:00,6.37829,0.97639,6.07494,-10.42997,24.12529,4.2091,1.21803,-1.36653,81.04012,-6.727872,-2.152422,0.423086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.25851,14.5717,-0.75344,50,6.01429,6.51152,-131.72067,-10.84668,-5.54019,36.38319,-7.39892,EKU_COL,NOK_NOR,EarleCombsStadium,D1,ASUN,20260217-EarleCombsStadium-1,767ef980-0c3c-11f1-bf2f-29085bb728ab,89.08936,NA,NA,10.27798,NA,NA,NA,NA,NA,NA,d680e779-c437-4401-b98f-f11c827ab3b6,2026-02-17,20:08:44,2026-02-17T20:08:44Z,2026-02-17T20:08:44Z,NA,v3,471288,471393,42fb94a1479f48c98c8b96efb89ca665,"Shaffer, Silas",1000068569,Right,EKU_COL,7408d205-bdff-4807-8044-fa2587d5b57a,54.41984,-132.93589,18.19159,6.37245,-10.59955,-3.69946,-0.97401,6.69656,-2.7701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2026-02-17,15:09:03,3,2,"Pumphrey, Cooper",1000296246,Right,EKU_COL,"Williams, Josh",1000273647,Left,NOK_NOR,Undefined,1,Top,1,1,0,Splitter,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,NA,80.36121,1.530105,0.236762,753.858527,285.80137,03:30:00,6.43105,1.0745,5.5233,-47.15085,-2.10232,13.66713,3.93269,2.43478,71.82618,-7.158677,2.674524,0.483072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.70382,-0.9841,-1.10402,50,6.53366,-1.05728,-116.32869,1.46715,-8.92977,27.49656,-33.48492,EKU_COL,NOK_NOR,EarleCombsStadium,D1,ASUN,20260217-EarleCombsStadium-1,82179270-0c3c-11f1-bf2f-29085bb728ab,78.0266,NA,NA,8.53502,NA,NA,NA,NA,NA,NA,d680e779-c437-4401-b98f-f11c827ab3b6,2026-02-17,20:09:03,2026-02-17T20:09:03Z,2026-02-17T20:09:03Z,NA,v3,471288,471393,42fb94a1479f48c98c8b96efb89ca665,"Shaffer, Silas",1000068569,Right,EKU_COL,8c34700c-6a80-4300-94b5-a0d6dcbd947a,54.97098,-117.49781,13.74828,6.44101,2.89087,-16.74246,-1.06714,-0.6776,-4.46489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2026-02-17,15:09:28,3,3,"Pumphrey, Cooper",1000296246,Right,EKU_COL,"Williams, Josh",1000273647,Left,NOK_NOR,Undefined,1,Top,1,2,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,89.43414,-4.335113,-1.506416,2143.729042,198.398975,12:30:00,6.33084,0.77991,6.07657,-13.79454,21.69556,6.76237,1.16112,-0.05071,80.43048,-7.021642,-0.288763,0.428771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.99567,13.03422,-0.66698,50,5.98769,3.11965,-129.33875,-10.13798,-6.63654,31.87843,-10.52514,EKU_COL,NOK_NOR,EarleCombsStadium,D1,ASUN,20260217-EarleCombsStadium-1,90d671a0-0c3c-11f1-bf2f-29085bb728ab,87.90817,NA,NA,9.00366,NA,NA,NA,NA,NA,NA,d680e779-c437-4401-b98f-f11c827ab3b6,2026-02-17,20:09:28,2026-02-17T20:09:28Z,2026-02-17T20:09:28Z,NA,v3,471288,471393,42fb94a1479f48c98c8b96efb89ca665,"Shaffer, Silas",1000068569,Right,EKU_COL,7b31c8b5-8646-43f2-b2fe-e35b2b3db0e2,54.41986,-130.42357,15.93921,6.32659,-9.77981,-5.26257,-0.77698,3.34549,-3.31827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2026-02-17,15:09:49,3,4,"Pumphrey, Cooper",1000296246,Right,EKU_COL,"Williams, Josh",1000273647,Left,NOK_NOR,Undefined,1,Top,1,3,0,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,NA,90.70604,-4.447693,-1.998395,2217.643838,200.038389,12:45:00,6.38431,0.82115,5.81,-12.06225,22.81226,7.82914,1.23231,-0.38551,81.51296,-6.811646,-0.596493,0.425036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.67567,13.52721,-0.66205,50,6.01201,4.23279,-131.07282,-10.48857,-7.97922,32.62427,-9.08935,EKU_COL,NOK_NOR,EarleCombsStadium,D1,ASUN,20260217-EarleCombsStadium-1,9d0a6030-0c3c-11f1-bf2f-29085bb728ab,88.68064,NA,NA,9.19309,NA,NA,NA,NA,NA,NA,d680e779-c437-4401-b98f-f11c827ab3b6,2026-02-17,20:09:49,2026-02-17T20:09:49Z,2026-02-17T20:09:49Z,NA,v3,471288,471393,42fb94a1479f48c98c8b96efb89ca665,"Shaffer, Silas",1000068569,Right,EKU_COL,5c56854a-ac6b-4cad-b2a0-6725cbbdd755,54.68681,-132.23422,16.31213,6.37964,-10.165,-4.54468,-0.8178,4.51684,-3.98961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2026-02-17,15:10:30,4,1,"Pumphrey, Cooper",1000296246,Right,EKU_COL,"Paulick, Jake",1000093630,Right,NOK_NOR,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,90.46806,-2.51324,-3.072438,2213.677723,193.99672,12:30:00,6.3289,0.97235,5.93005,-13.2528,21.48985,5.03406,2.88782,-1.46155,81.37345,-5.102426,-2.170483,0.424232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.55445,12.15658,-0.72942,50,6.12022,6.80385,-130.90107,-6.0701599999999996,-6.06882,31.75022,-11.41809,EKU_COL,NOK_NOR,EarleCombsStadium,D1,ASUN,20260217-EarleCombsStadium-1,b5c6c5f0-0c3c-11f1-bf2f-29085bb728ab,88.84874,NA,NA,9.09461,NA,NA,NA,NA,NA,NA,d680e779-c437-4401-b98f-f11c827ab3b6,2026-02-17,20:10:30,2026-02-17T20:10:30Z,2026-02-17T20:10:30Z,NA,v3,471288,471393,42fb94a1479f48c98c8b96efb89ca665,"Shaffer, Silas",1000068569,Right,EKU_COL,b1e2a3a2-2c1f-4738-93c5-74adc5950621,54.5645,-132.00355,15.87511,6.32411,-5.67368,-5.70905,-0.96933,7.01458,-3.03441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
