player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2026-03-20,18:05:37,1,1,"Owens, Kaleb",1000369957,Right,AND_TRO,"Hoppes, Jaret",10147955,Right,EMO_HEN,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,88.66797,-2.612872,-4.356721,2302.584363,218.029898,01:15:00,5.89572,1.57551,5.57272,-16.5682,19.94064,14.57702,2.06571,-1.28701,80.23941,-5.772479,-1.766286,0.434881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.65394,11.23331,-1.20929,50,5.65938,9.11456,-128.14974,-6.34899,-14.26848,28.58676,-13.6528,AND_TRO,EMO_HEN,AndersonUniversity,D2,Team,20260320-AndersonUniversity-1,abf6ecd0-24ab-11f1-877d-69b59d9b5a9a,86.67303,NA,NA,8.42856,NA,NA,NA,NA,NA,NA,3d8077a9-f6f8-405b-96c2-94a8151d553c,2026-03-20,22:05:37,2026-03-20T22:05:37Z,2026-03-20T22:05:37Z,NA,v3,643-144395,643-144848,6375,"Bello, Dominick",1000090114,Right,AND_TRO,9c464e3a-350f-4bf0-ac50-11906fbb984a,54.92408,-129.2435,14.29338,5.89231,-5.82662,-6.8264,-1.56847,9.66049,-7.13424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2026-03-20,18:05:48,1,2,"Owens, Kaleb",1000369957,Right,AND_TRO,"Hoppes, Jaret",10147955,Right,EMO_HEN,Undefined,1,Top,0,1,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,NA,88.2432,-2.399166,-2.995932,2258.67638,204.811873,12:45:00,5.91955,1.68004,5.59214,-14.0256,22.83399,9.93406,2.50623,-0.29201,79.57846,-5.1191700000000004,-1.226499,0.436965,84.20535,-14.568394,8.884047,NA,NA,NA,NA,9.67363,9.28408,11.615842,0.072532,-5.97544,12.70083,-1.4295,50,5.70475,6.24896,-127.70156,-5.72485,-9.73917,29.48684,-11.47338,AND_TRO,EMO_HEN,AndersonUniversity,D2,Team,20260320-AndersonUniversity-1,b2d5ce40-24ab-11f1-877d-69b59d9b5a9a,86.25963,2.25796,NA,8.66474,NA,NA,NA,0.89165,2.25796,0.60603,3d8077a9-f6f8-405b-96c2-94a8151d553c,2026-03-20,22:05:48,2026-03-20T22:05:48Z,2026-03-20T22:05:48Z,GroundBall,v3,643-144395,643-144848,6375,"Bello, Dominick",1000090114,Right,AND_TRO,cce9e84c-f8d9-4053-be36-c07ddb41f2eb,54.90459,-128.82908,14.74342,5.91527,-5.28614,-5.73669,-1.67556,6.62137,-4.86959,180,0.88874,118.34593,NA,NA,NA,NA,NA,NA,NA,2.25873,-31.13058,NA,NA,NA,NA,NA,NA,NA,0.60557,18.49872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2026-03-20,18:06:16,2,1,"Owens, Kaleb",1000369957,Right,AND_TRO,"Rodriguez, Jadden",10147194,Left,EMO_HEN,Undefined,1,Top,1,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,89.05274,-0.685487,-2.053271,2259.436538,227.562511,01:30:00,5.96692,1.40123,5.49372,-20.3669,15.95635,15.99576,3.62801,0.81269,80.09383,-4.536489,0.795178,0.433774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.65288,8.62804,-1.23236,50,5.89356,3.89108,-128.99657,-2.2024,-14.35447,30.70519,-17.86079,AND_TRO,EMO_HEN,AndersonUniversity,D2,Team,20260320-AndersonUniversity-1,c385f620-24ab-11f1-877d-69b59d9b5a9a,86.89416,NA,NA,8.95891,NA,NA,NA,NA,NA,NA,3d8077a9-f6f8-405b-96c2-94a8151d553c,2026-03-20,22:06:16,2026-03-20T22:06:16Z,2026-03-20T22:06:16Z,NA,v3,643-144395,643-144848,6375,"Bello, Dominick",1000090114,Right,AND_TRO,db4dfc31-88e6-4aad-a53c-dc1cba8778ef,55.00146,-130.18163,15.35259,5.96526,-1.51307,-8.93039,-1.39323,4.44509,-7.17723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2026-03-20,18:06:28,2,2,"Owens, Kaleb",1000369957,Right,AND_TRO,"Rodriguez, Jadden",10147194,Left,EMO_HEN,Undefined,1,Top,1,1,0,Fastball,Sinker,InPlay,Undefined,LineDrive,Out,1,0,NA,88.5451,-1.40483,-3.522025,2228.137695,224.688678,01:30:00,5.9025,1.51906,5.56713,-18.96615,17.62741,16.13493,3.00691,-0.43061,79.905,-5.002642,-0.649979,0.435385,91.47571,19.491956,6.539489,1414.957556,109.40988,32.83968,11.3788,315.59016,305.57196,3.537347,3.464038,-9.29284,9.73871,-1.22612,50,5.76912,7.18512,-128.18176,-3.74041,-15.27295,29.50562,-16.16836,AND_TRO,EMO_HEN,AndersonUniversity,D2,Team,20260320-AndersonUniversity-1,cabd09b0-24ab-11f1-877d-69b59d9b5a9a,86.57258,38.58697,NA,8.64009,NA,NA,NA,1.88326,3.06871,0.42502,3d8077a9-f6f8-405b-96c2-94a8151d553c,2026-03-20,22:06:28,2026-03-20T22:06:28Z,2026-03-20T22:06:28Z,LineDrive,v3,643-144395,643-144848,6375,"Bello, Dominick",1000090114,Right,AND_TRO,d69934b6-b7b9-4906-8f5c-1ee697d1304a,54.93093,-129.31181,14.75281,5.90052,-3.1211700000000002,-8.08418,-1.5125,7.77007,-7.63648,166.985321,1.88325,125.65406,-18.02711,3.84761,-0.74282,0.11544,-0.01092,2.7e-4,4e-5,3.06872,44.76422,-15.01304,0.64334,-0.086,0.03926,-0.0148,0.00338,-3.1e-4,0.42507,14.40059,-3.49105,0.34046,-8e-4,-0.01857,0.00769,-0.00169,1.5e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2026-03-20,18:06:55,3,1,"Owens, Kaleb",1000369957,Right,AND_TRO,"Fields, Kyle",1000090915,Left,EMO_HEN,Undefined,1,Top,2,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,90.19379,-1.381284,-1.669176,2366.216251,213.55671,01:00:00,6.00882,1.33507,5.48104,-13.19383,22.2447,13.8869,3.61613,0.9301,81.03968,-3.952016,0.803056,0.428459,62.1131,44.053395,144.503635,4326.293102,-98.40337,43.77144,49.16044,155.28441,66.77637,155.903462,3.235347,-7.54804,12.03575,-1.19842,50,5.87929,3.1772,-130.66473,-3.50427,-12.83455,31.76124,-11.70872,AND_TRO,EMO_HEN,AndersonUniversity,D2,Team,20260320-AndersonUniversity-1,da6cb180-24ab-11f1-877d-69b59d9b5a9a,87.97208,48.64076,NA,9.1541,NA,NA,NA,0.93345,3.58584,-0.93148,3d8077a9-f6f8-405b-96c2-94a8151d553c,2026-03-20,22:06:55,2026-03-20T22:06:55Z,2026-03-20T22:06:55Z,Popup,v3,643-144395,643-144848,6375,"Bello, Dominick",1000090114,Right,AND_TRO,533072c6-8cc6-4542-b83c-1a490a2ae047,55.0157,-131.87828,15.88062,6.00464,-3.0569,-5.85436,-1.32919,3.66759,-6.41727,312.567374,0.9337,-53.31613,0.96107,0.96141,-6.6e-4,-0.25653,0.14534,-0.03203,0.00253,3.58596,63.33984,-25.54776,2.88922,-0.54075,0.09753,-0.03151,0.00895,-9.4e-4,-0.93095,37.99934,-9.71775,2.17176,-0.32909,0.01252,-0.01997,0.01114,-0.00144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2026-03-20,18:07:09,3,2,"Owens, Kaleb",1000369957,Right,AND_TRO,"Fields, Kyle",1000090915,Left,EMO_HEN,Undefined,1,Top,2,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,79.06849,1.584487,-1.948063,2364.695128,75.166769,08:30:00,5.86589,1.46766,5.20854,-47.34491,-0.64823,-8.82981,3.41179,-1.10084,71.34756,-7.066625,-3.511329,0.491829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.74063,-0.32894,-1.28056,50,5.97725,4.25961,-114.45629,1.50391,4.87248,24.68278,-32.60254,AND_TRO,EMO_HEN,AndersonUniversity,D2,Team,20260320-AndersonUniversity-1,e2d5b560-24ab-11f1-877d-69b59d9b5a9a,76.63724,NA,NA,7.72093,NA,NA,NA,NA,NA,NA,3d8077a9-f6f8-405b-96c2-94a8151d553c,2026-03-20,22:07:09,2026-03-20T22:07:09Z,2026-03-20T22:07:09Z,NA,v3,643-144395,643-144848,6375,"Bello, Dominick",1000090114,Right,AND_TRO,e498bbd4-a92c-4b03-8f9a-4968619a0319,55.28816,-115.59107,12.34139,5.87365,3.0028,-16.30127,-1.47125,4.0356,2.43624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2026-03-20,18:07:20,3,3,"Owens, Kaleb",1000369957,Right,AND_TRO,"Fields, Kyle",1000090915,Left,EMO_HEN,Undefined,1,Top,2,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,89.7772,0.500816,-2.402744,2158.401827,217.127055,01:15:00,6.03668,1.17371,5.3719,-19.52985,16.37997,11.41367,4.87916,-0.12918,80.6287,-3.196149,-0.376551,0.431298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.47063,8.41591,-0.96656,50,6.06832,4.92452,-129.99194,0.49609,-10.90493,31.08207,-17.99077,AND_TRO,EMO_HEN,AndersonUniversity,D2,Team,20260320-AndersonUniversity-1,e9b09f30-24ab-11f1-877d-69b59d9b5a9a,87.39294,NA,NA,9.1485,NA,NA,NA,NA,NA,NA,3d8077a9-f6f8-405b-96c2-94a8151d553c,2026-03-20,22:07:20,2026-03-20T22:07:20Z,2026-03-20T22:07:20Z,NA,v3,643-144395,643-144848,6375,"Bello, Dominick",1000090114,Right,AND_TRO,e954357d-d554-4861-9316-a41fa60f8616,55.12343,-131.21127,15.54103,6.03501,1.20185,-8.99539,-1.16814,5.35231,-5.45247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2026-03-20,18:07:34,3,4,"Owens, Kaleb",1000369957,Right,AND_TRO,"Fields, Kyle",1000090915,Left,EMO_HEN,Undefined,1,Top,2,2,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,89.1569,-0.321624,-3.071108,2132.471356,224.712165,01:30:00,5.95412,1.47194,5.54226,-19.52277,16.75678,15.25091,4.0262,-0.13011,79.95949,-4.032236,-0.356407,0.433513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.65103,8.93111,-1.21579,50,5.91369,6.2289,-129.04299,-1.33858,-14.33702,31.15156,-17.37284,AND_TRO,EMO_HEN,AndersonUniversity,D2,Team,20260320-AndersonUniversity-1,f17bb560-24ab-11f1-877d-69b59d9b5a9a,86.94649,NA,NA,9.19742,NA,NA,NA,NA,NA,NA,3d8077a9-f6f8-405b-96c2-94a8151d553c,2026-03-20,22:07:34,2026-03-20T22:07:34Z,2026-03-20T22:07:34Z,NA,v3,643-144395,643-144848,6375,"Bello, Dominick",1000090114,Right,AND_TRO,a75ceb53-5181-49a2-beb9-28a94937b873,54.95294,-130.23316,15.57578,5.95216,-0.67483,-8.68642,-1.46424,6.77666,-7.16851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2026-03-20,18:07:46,3,5,"Owens, Kaleb",1000369957,Right,AND_TRO,"Fields, Kyle",1000090915,Left,EMO_HEN,Undefined,1,Top,2,3,1,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,NA,88.9783,0.024736,-1.59731,2235.830488,217.515042,01:15:00,5.92514,1.42625,5.54994,-15.08942,21.32076,15.32339,4.69081,1.2102,79.64711,-2.904847,1.134142,0.434293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.18331,11.09249,-1.29807,50,5.91769,2.89016,-128.88197,-0.34711,-13.50401,31.50962,-13.86934,AND_TRO,EMO_HEN,AndersonUniversity,D2,Team,20260320-AndersonUniversity-1,f8fd6680-24ab-11f1-877d-69b59d9b5a9a,86.79035,NA,NA,9.33119,NA,NA,NA,NA,NA,NA,3d8077a9-f6f8-405b-96c2-94a8151d553c,2026-03-20,22:07:46,2026-03-20T22:07:46Z,2026-03-20T22:07:46Z,NA,v3,643-144395,643-144848,6375,"Bello, Dominick",1000090114,Right,AND_TRO,2d17a1bc-f9b1-4625-9179-f28fbb40a0a6,54.94412,-130.08511,15.75481,5.92083,0.18247,-6.93467,-1.41827,3.40578,-6.752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2026-03-20,18:08:13,4,1,"Owens, Kaleb",1000369957,Right,AND_TRO,"Gregoire, Ky",10046635,Left,EMO_HEN,Undefined,1,Top,2,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,90.15074,-1.825696,-1.528596,2228.466194,218.177145,01:15:00,6.11431,1.275,5.51798,-17.18056,18.06639,13.22646,2.97437,0.94761,81.54103,-5.088245,0.828635,0.427299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.12595,10.0341,-1.15091,50,5.94413,2.88582,-130.65401,-4.70036,-12.18644,30.26502,-15.01427,AND_TRO,EMO_HEN,AndersonUniversity,D2,Team,20260320-AndersonUniversity-1,08dfde20-24ac-11f1-877d-69b59d9b5a9a,88.21087,NA,NA,8.60972,NA,NA,NA,NA,NA,NA,3d8077a9-f6f8-405b-96c2-94a8151d553c,2026-03-20,22:08:13,2026-03-20T22:08:13Z,2026-03-20T22:08:13Z,NA,v3,643-144395,643-144848,6375,"Bello, Dominick",1000090114,Right,AND_TRO,fba77a70-61c5-4f88-b27c-11e2f7eb2930,54.97867,-131.80224,15.13251,6.11165,-4.13073,-7.50713,-1.26916,3.34816,-6.09322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
